wl,n
2.98000,0.00000
3.00000,0.00000
3.02000,0.00000
3.04000,0.00000
3.06000,0.00000
3.08000,0.00000
3.10000,0.00000
3.12000,0.00000
3.14000,0.00000
3.16000,0.00000
3.18000,0.00000
3.20000,0.00000
3.22000,0.00000
3.24000,0.00000
3.26000,0.00000
3.28000,0.00000
3.30000,0.00000
3.32000,0.00000
3.34000,0.00000
3.36000,0.00000
3.38000,0.00000
3.40000,0.00000
3.42000,0.00000
3.44000,0.00000
3.46000,0.00000
3.48000,0.00000
3.50000,0.00000
3.52000,0.00000
3.54000,0.00000
3.56000,0.00000
3.58000,0.00000
3.60000,0.00000
3.62000,0.00000
3.64000,0.00000
3.66000,0.00000
3.68000,0.00000
3.70000,0.00000
3.72000,0.00000
3.74000,0.00000
3.76000,0.00000
3.78000,0.00000
3.80000,0.00000
3.82000,0.00000
3.84000,0.00000
3.86000,0.00000
3.88000,0.00000
3.90000,0.00000
3.92000,0.00000
3.94000,0.00000
3.96000,0.00000
3.98000,0.00000
4.00000,0.00000
4.02000,0.00000
4.04000,0.00000
4.06000,0.00000
4.08000,0.00000
4.10000,0.00000
4.12000,0.00000
4.14000,0.00000
4.16000,0.00000
4.18000,0.00000
4.20000,0.00000
4.22000,0.00000
4.24000,0.00000
4.26000,0.00000
4.28000,0.00000
4.30000,0.00000
4.32000,0.00000
4.34000,0.00000
4.36000,0.00000
4.38000,0.00000
4.40000,0.00000
4.42000,0.00000
4.44000,0.00000
4.46000,0.00000
4.48000,0.00000
4.50000,0.00000
4.52000,0.00000
4.54000,0.00000
4.56000,0.00000
4.58000,0.00000
4.60000,0.00000
4.62000,0.00000
4.64000,0.00000
4.66000,0.00000
4.68000,0.00000
4.70000,0.00000
4.72000,0.00000
4.74000,0.00000
4.76000,0.00000
4.78000,0.00000
4.80000,0.00000
4.82000,0.00000
4.84000,0.00000
4.86000,0.00000
4.88000,0.00000
4.90000,0.00000
4.92000,0.00000
4.94000,0.00000
4.96000,0.00000
4.98000,0.00000
5.00000,0.00000
5.02000,0.00000
5.04000,0.00000
5.06000,0.00000
5.08000,0.00000
5.10000,0.00000
5.12000,0.00000
5.14000,0.00000
5.16000,0.00000
5.18000,0.00000
5.20000,0.00000
5.22000,0.00000
5.24000,0.00000
5.26000,0.00000
5.28000,0.00000
5.30000,0.00000
5.32000,0.00000
5.34000,0.00000
5.36000,0.00000
5.38000,0.00000
5.40000,0.00000
5.42000,0.00000
5.44000,0.00000
5.46000,0.00000
5.48000,0.00000
5.50000,0.00000
5.52000,0.00000
5.54000,0.00000
5.56000,0.00000
5.58000,0.00000
5.60000,0.00000
5.62000,0.00000
5.64000,0.00000
5.66000,0.00000
5.68000,0.00000
